DECISION,Acronym,What it stands for,Why we suggested that,Group,User typed the acronym,Used in a longer search,User typed the long name,First searched,Times in documents,Times in titles,In UNTERM,UNTERM says,Agrees with us,UNTERM link,Anything to watch out for,Rule to paste into documents.sr
Yes,memr,ministry energy mineral resources,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,Yes,2024-07-25,106,,No,,,,,"memr +> ?""ministry energy mineral resources"";"
Yes,gcc,global climate coalition,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,Yes,2024-10-30,106,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/f757372b-3b57-4d0f-be9b-4f2c7ff38630,,"gcc +> ?""global climate coalition"";"
Yes,icat,initiative climate action transparency,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,Yes,2024-02-26,103,,Yes,Initiative for Climate Action Transparency,Matches,https://unterm.un.org/unterm2/en/view/8daf4b39-3d55-43b7-a0a5-884ac75d3678,,"icat +> ?""initiative climate action transparency"";"
Yes,sprep,secretariat pacific regional environment programme,"users type this, and it is not an everyday word",1 - Best picks,Yes,No,No,2025-06-18,98,,Yes,Pacific Regional Environment Programme,Close,https://unterm.un.org/unterm2/en/view/8d15b13d-cf08-4331-8ff8-4ef710107587,,"sprep +> ?""secretariat pacific regional environment programme"";"
Yes,jetp,just energy transition partnership,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,Yes,2023-09-27,98,,No,,,,,"jetp +> ?""just energy transition partnership"";"
Yes,redd+,reducing emissions deforestation forest degradation,"users type this, and it is not an everyday word",1 - Best picks,Yes,No,Yes,2023-10-02,97,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/2501c322-f498-43c9-a678-8a63661a600c,,"redd+ +> ?""reducing emissions deforestation forest degradation"";"
Yes,ctcn,climate technology centre network,"users type this, and it is not an everyday word",1 - Best picks,Yes,No,No,2026-02-12,93,2,Yes,Climate Technology Centre and Network,Matches,https://unterm.un.org/unterm2/en/view/b3c3e0fe-8ff9-4b4c-93c0-694528427af8,,"ctcn +> ?""climate technology centre network"";"
Yes,iica,inter american institute cooperation agriculture,"users type this, and it is not an everyday word",1 - Best picks,Yes,No,No,2026-02-20,88,,Yes,Inter-American Institute for Cooperation on Agriculture,Matches,https://unterm.un.org/unterm2/en/view/3182cb39-232e-45ac-b689-d34fb0f028d1,,"iica +> ?""inter american institute cooperation agriculture"";"
Yes,mtbe,methyl tertiary butyl ether,"users type this, and it is not an everyday word",1 - Best picks,Yes,No,No,2026-09-13,82,,Yes,methyl tertiary butyl ether,Matches,https://unterm.un.org/unterm2/en/view/d4b1bebb-a89d-4f56-beef-72c4be9ea279,,"mtbe +> ?""methyl tertiary butyl ether"";"
Yes,sadc,southern african development community,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,No,2024-03-08,81,,Yes,Southern African Development Community,Matches,https://unterm.un.org/unterm2/en/view/54c59348-1d74-460b-b060-5b39255c5971,,"sadc +> ?""southern african development community"";"
Yes,cwa,clean water act,"users type this, and it is not an everyday word",1 - Best picks,Yes,No,Yes,2023-09-26,79,,Yes,Clean Water Act,Matches,https://unterm.un.org/unterm2/en/view/5463a11a-9eba-4b3f-9b10-d0228b478243,,"cwa +> ?""clean water act"";"
Yes,denr,department environment natural resources,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,Yes,2025-10-15,75,,Yes,Department of Environment and Natural Resources,Matches,https://unterm.un.org/unterm2/en/view/d2abb70b-a412-4864-857d-ad7e09b7c48a,,"denr +> ?""department environment natural resources"";"
Yes,ipbes,intergovernmental science policy platform biodiversity ecosystem services,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,No,2026-01-28,73,,Yes,Intergovernmental Platform on Biodiversity and Ecosystem Services,Close,https://unterm.un.org/unterm2/en/view/f0339e39-5bc3-442d-88e4-9446b776764f,,"ipbes +> ?""intergovernmental science policy platform biodiversity ecosystem services"";"
Yes,nhtsa,national highway traffic safety administration,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,Yes,2025-09-25,70,,Yes,National Highway Traffic Safety Administration,Matches,https://unterm.un.org/unterm2/en/view/accbea1a-53dd-4d99-bf53-ee965406570b,,"nhtsa +> ?""national highway traffic safety administration"";"
Yes,cdr,carbon dioxide removal,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,Yes,2023-12-04,70,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/7f91e06d-373f-41d8-9536-605d46f8045a,,"cdr +> ?""carbon dioxide removal"";"
Yes,gwec,global wind energy council,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,Yes,2025-03-21,68,,Yes,Global Wind Energy Council,Matches,https://unterm.un.org/unterm2/en/view/85fac94a-c9d4-4572-acd6-98560017c6b0,,"gwec +> ?""global wind energy council"";"
Yes,iccpr,international covenant civil political rights,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,Yes,2024-07-31,66,,Yes,International Covenant on Civil and Political Rights,Matches,https://unterm.un.org/unterm2/en/view/c38ebf9d-3717-4ed1-93f4-57991db15984,,"iccpr +> ?""international covenant civil political rights"";"
Yes,rle,red list ecosystems,"users type this, and it is not an everyday word",1 - Best picks,Yes,No,Yes,2025-08-13,61,,No,,,,,"rle +> ?""red list ecosystems"";"
Yes,nds,national development strategy,"users type this, and it is not an everyday word",1 - Best picks,Yes,No,Yes,2023-09-19,55,,Yes,national development strategy,Matches,https://unterm.un.org/unterm2/en/view/99e62027-b966-47b4-a354-aedd026dac96,,"nds +> ?""national development strategy"";"
Yes,nccap,national climate change action plan,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,Yes,2023-09-19,52,5,No,,,,,"nccap +> ?""national climate change action plan"";"
Yes,cbit,capacity building initiative transparency,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,No,2025-11-18,52,4,Yes,Capacity-building Initiative for Transparency,Matches,https://unterm.un.org/unterm2/en/view/5e37a3d9-d3c2-470e-bd4b-4b9515f762f3,,"cbit +> ?""capacity building initiative transparency"";"
Yes,nreap,national renewable energy action plan,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,Yes,2023-12-10,52,7,No,,,,,"nreap +> ?""national renewable energy action plan"";"
Yes,undrr,united nations office disaster risk reduction,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,No,2024-03-26,51,,Yes,United Nations Office for Disaster Risk Reduction,Matches,https://unterm.un.org/unterm2/en/view/3c6f87b7-4cbb-4128-ae81-e8035a95bec3,,"undrr +> ?""united nations office disaster risk reduction"";"
Yes,sanbi,south african national biodiversity institute,"users type this, and it is not an everyday word",1 - Best picks,Yes,No,No,2024-11-19,43,,No,,,,,"sanbi +> ?""south african national biodiversity institute"";"
Yes,ifrs,international financial reporting standards,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,No,2024-02-04,39,,Yes,International Financial Reporting Standards,Matches,https://unterm.un.org/unterm2/en/view/9a481013-3b70-4345-905a-ea4cd9c3829e,,"ifrs +> ?""international financial reporting standards"";"
Yes,guan,gcos upper air network,"users type this, but the dictionary lists it too - see the warning",1 - Best picks,Yes,Yes,No,2025-11-12,38,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/c7b61011-7553-4720-a4af-4b7d8d9cfd55,"The dictionary also has ""guan"" - check it is not a word people type.","guan +> ?""gcos upper air network"";"
Yes,uncbd,united nations convention biological diversity,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,Yes,2025-04-17,38,,No,,,,,"uncbd +> ?""united nations convention biological diversity"";"
Yes,ngl,natural gas liquids,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,No,2025-10-31,37,,Yes,natural gas liquids,Matches,https://unterm.un.org/unterm2/en/view/a00126c7-d650-4a80-a2e1-b6bf627076b1,,"ngl +> ?""natural gas liquids"";"
Yes,unhcr,united nations high commissioner refugees,"users type this, and it is not an everyday word",1 - Best picks,Yes,No,No,2024-09-26,36,,Yes,Office of the United Nations High Commissioner for Refugees,Close,https://unterm.un.org/unterm2/en/view/de015b7a-316c-47b7-9a8c-045eb89ba273,,"unhcr +> ?""united nations high commissioner refugees"";"
Yes,weee,waste electrical electronic equipment,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,No,2025-08-14,35,,Yes,waste electrical and electronic equipment,Matches,https://unterm.un.org/unterm2/en/view/ca0585b5-0d88-48c7-88c9-902a3bd01258,,"weee +> ?""waste electrical electronic equipment"";"
Yes,fata,federally administered tribal areas,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,No,2026-02-16,33,,Yes,Federally Administered Tribal Areas,Matches,https://unterm.un.org/unterm2/en/view/172290c0-dfd8-452c-9a82-1fdf32cb8551,,"fata +> ?""federally administered tribal areas"";"
Yes,nrdc,natural resources defense council,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,Yes,2025-09-25,33,,Yes,Natural Resources Defense Council,Matches,https://unterm.un.org/unterm2/en/view/ef00afbb-76a0-47ab-8f70-ddf084284569,,"nrdc +> ?""natural resources defense council"";"
Yes,nba,national biodiversity authority,"users type this, and it is not an everyday word",1 - Best picks,Yes,No,No,2026-02-23,32,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/f4a11eec-02d6-4d8d-b928-aaafe426f796,,"nba +> ?""national biodiversity authority"";"
Yes,cga,country gender assessment,"users type this, and it is not an everyday word",1 - Best picks,Yes,No,No,2026-04-08,32,,No,,,,,"cga +> ?""country gender assessment"";"
Yes,redd,reducing emissions deforestation forest degradation,"users type this, but the dictionary lists it too - see the warning",1 - Best picks,Yes,Yes,Yes,2023-09-19,31,4,Yes,reducing emissions from deforestation and forest degradation in developing countries,Close,https://unterm.un.org/unterm2/en/view/c9dadf73-1e6f-4b74-a405-1156700265c5,"The dictionary also has ""redd"" - check it is not a word people type.","redd +> ?""reducing emissions deforestation forest degradation"";"
Yes,unga,united nations general assembly,"users type this, and it is not an everyday word",1 - Best picks,Yes,No,Yes,2024-10-11,30,,No,,,,,"unga +> ?""united nations general assembly"";"
Yes,ccac,climate clean air coalition,"users type this, and it is not an everyday word",1 - Best picks,Yes,No,Yes,2025-09-19,30,,Yes,Climate and Clean Air Coalition to Reduce Short-lived Climate Pollutants,Close,https://unterm.un.org/unterm2/en/view/7d27d958-29d0-461c-8e56-bd40eb190d3d,,"ccac +> ?""climate clean air coalition"";"
Yes,usda,united states department agriculture,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,Yes,2024-02-28,29,,Yes,United States Department of Agriculture,Matches,https://unterm.un.org/unterm2/en/view/a9d000b7-275d-4c65-b6a3-71756f30779f,,"usda +> ?""united states department agriculture"";"
Yes,kea,korea energy agency,"users type this, but the dictionary lists it too - see the warning",1 - Best picks,Yes,No,No,2025-12-11,29,,No,,,,"The dictionary also has ""kea"" - check it is not a word people type.","kea +> ?""korea energy agency"";"
Yes,epi,environmental performance index,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,No,2025-06-24,28,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/a61d53e6-e88a-48f3-87c1-337bc3635b18,,"epi +> ?""environmental performance index"";"
Yes,menr,ministry energy natural resources,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,Yes,2026-03-16,27,,No,,,,,"menr +> ?""ministry energy natural resources"";"
Yes,unops,united nations office project services,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,No,2024-11-21,27,,Yes,United Nations Office for Project Services,Matches,https://unterm.un.org/unterm2/en/view/17792f71-a8bc-4f96-8733-dd130f9ef0f0,,"unops +> ?""united nations office project services"";"
Yes,phmsa,pipeline hazardous materials safety administration,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,Yes,2026-03-14,25,,No,,,,,"phmsa +> ?""pipeline hazardous materials safety administration"";"
Yes,mrv,monitoring reporting verification,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,Yes,2023-11-13,25,5,Yes,"monitoring, reporting and verification",Matches,https://unterm.un.org/unterm2/en/view/4b3241f8-f541-4493-ad95-c968c1dfdc4f,,"mrv +> ?""monitoring reporting verification"";"
Yes,cepf,critical ecosystem partnership fund,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,Yes,2025-11-25,25,,Yes,Critical Ecosystem Partnership Fund,Matches,https://unterm.un.org/unterm2/en/view/9a00a640-b523-4118-b653-5bc183944d1b,,"cepf +> ?""critical ecosystem partnership fund"";"
Yes,otec,ocean thermal energy conversion,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,No,2025-08-04,25,,Yes,Ocean Thermal Energy Conversion,Matches,https://unterm.un.org/unterm2/en/view/7ff02b03-2192-4d03-a627-3b93178f246a,,"otec +> ?""ocean thermal energy conversion"";"
Yes,amoc,atlantic meridional overturning circulation,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,No,2025-09-22,24,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/d7c0dc19-a3c6-419c-bc76-7bd345cfffee,,"amoc +> ?""atlantic meridional overturning circulation"";"
Yes,bbnj,biodiversity beyond national jurisdiction,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,No,2025-09-23,24,,No,,,,,"bbnj +> ?""biodiversity beyond national jurisdiction"";"
Yes,bccsap,bangladesh climate change strategy action plan,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,Yes,2023-09-22,24,2,No,,,,,"bccsap +> ?""bangladesh climate change strategy action plan"";"
Yes,amrut,atal mission rejuvenation urban transformation,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,Yes,2024-05-07,24,2,No,,,,,"amrut +> ?""atal mission rejuvenation urban transformation"";"
Yes,napcc,national action plan climate change,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,Yes,2023-09-19,24,2,No,,,,,"napcc +> ?""national action plan climate change"";"
Yes,scaqmd,south coast air quality management district,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,Yes,2025-12-22,23,,No,,,,,"scaqmd +> ?""south coast air quality management district"";"
Yes,sbti,science based targets initiative,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,Yes,2023-11-22,23,,No,,,,,"sbti +> ?""science based targets initiative"";"
Yes,iiasa,international institute applied systems analysis,"users type this, and it is not an everyday word",1 - Best picks,Yes,No,Yes,2024-11-15,23,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/b468dc20-5f2b-4403-9c7f-ebda23ee8fd3,,"iiasa +> ?""international institute applied systems analysis"";"
Yes,oecs,organisation eastern caribbean states,"users type this, and it is not an everyday word",1 - Best picks,Yes,No,No,2026-02-11,23,,Yes,Organisation of Eastern Caribbean States,Matches,https://unterm.un.org/unterm2/en/view/714d2ada-5dc0-41f8-8f80-67f48fbe39c4,,"oecs +> ?""organisation eastern caribbean states"";"
Yes,unece,united nations economic commission europe,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,No,2025-10-21,22,,Yes,Economic Commission for Europe,Close,https://unterm.un.org/unterm2/en/view/abe5018a-c7cd-4f96-82d7-96a6f5e465fb,,"unece +> ?""united nations economic commission europe"";"
Yes,desnz,department energy security net zero,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,No,2023-10-10,22,,No,,,,,"desnz +> ?""department energy security net zero"";"
Yes,esif,european structural investment funds,"users type this, and it is not an everyday word",1 - Best picks,Yes,No,No,2025-10-07,22,,No,,,,,"esif +> ?""european structural investment funds"";"
Yes,bil,bipartisan infrastructure law,"users type this, and it is not an everyday word",1 - Best picks,Yes,No,Yes,2023-12-08,22,,No,,,,,"bil +> ?""bipartisan infrastructure law"";"
Yes,crc,convention rights child,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,Yes,2025-10-21,22,2,Yes,Convention on the Rights of the Child,Matches,https://unterm.un.org/unterm2/en/view/3968c15f-8036-47d9-b2c2-18df4386c79b,,"crc +> ?""convention rights child"";"
Yes,gfanz,glasgow financial alliance net zero,"users type this, and it is not an everyday word",1 - Best picks,Yes,No,Yes,2025-01-31,22,,No,,,,,"gfanz +> ?""glasgow financial alliance net zero"";"
Yes,rec,renewable energy certificate,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,Yes,2024-02-16,22,,Yes,renewable energy certificate,Matches,https://unterm.un.org/unterm2/en/view/8063920a-0019-4dbc-8489-b4978769729f,,"rec +> ?""renewable energy certificate"";"
Yes,ngfs,network greening financial system,"users type this, and it is not an everyday word",1 - Best picks,Yes,No,No,2025-01-31,22,,No,,,,,"ngfs +> ?""network greening financial system"";"
Yes,fema,federal emergency management agency,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,Yes,2025-09-25,22,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/fb7cbc9f-6d1e-4fb4-bffe-407c54f974e7,,"fema +> ?""federal emergency management agency"";"
Yes,ncar,national center atmospheric research,"users type this, and it is not an everyday word",1 - Best picks,Yes,No,Yes,2026-05-19,21,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/f9e3afa3-5181-4a99-accb-683369fefb6d,,"ncar +> ?""national center atmospheric research"";"
