acronym	expansion	passages	status	note	rule_line
ict	information communication technology	269	review	competing: information communication technology (142); information communications technology (72); information communication technologies (55)	"ict +> ?""information communication technology"";"
nfi	national forest inventory	267	ready		"nfi +> ?""national forest inventory"";"
re	renewable energy	266	ready		"re +> ?""renewable energy"";"
wdpa	world database protected areas	265	ready		"wdpa +> ?""world database protected areas"";"
rfa	regulatory flexibility act	263	ready		"rfa +> ?""regulatory flexibility act"";"
cms	conservation migratory species	263	review	competing: conservation migratory species (219); convention migratory species (44)	"cms +> ?""conservation migratory species"";"
gggi	global green growth institute	260	review	competing: global green growth institute (207); global gender gap index (53)	"gggi +> ?""global green growth institute"";"
erdf	european regional development fund	259	ready		"erdf +> ?""european regional development fund"";"
tossd	total official support sustainable development	256	ready		"tossd +> ?""total official support sustainable development"";"
psi	private sector instruments	250	ready		"psi +> ?""private sector instruments"";"
pa	paris agreement	249	review	ISO-2 prefix, Panama	"pa +> ?""paris agreement"";"
mu	moderately unsatisfactory	248	review	ISO-2 prefix, Mauritius	"mu +> ?""moderately unsatisfactory"";"
pes	payment ecosystem services	248	review	competing: payment ecosystem services (125); payments ecosystem services (49); payment environmental services (45)	"pes +> ?""payment ecosystem services"";"
ebrd	european bank reconstruction development	247	ready		"ebrd +> ?""european bank reconstruction development"";"
nen	national ecological network	245	ready		"nen +> ?""national ecological network"";"
mef	ministry economy finance	242	ready		"mef +> ?""ministry economy finance"";"
onep	office natural resources environmental policy	239	ready		"onep +> ?""office natural resources environmental policy"";"
sme	small medium sized enterprises	237	ready		"sme +> ?""small medium sized enterprises"";"
nccc	national climate change committee	236	review	competing: national climate change committee (214); national committee climate change (22)	"nccc +> ?""national climate change committee"";"
ias	invasive alien species	236	review	competing: invasive alien species (174); intermediary alternative scenario (33); international accounting standards (29)	"ias +> ?""invasive alien species"";"
wwf	world wildlife fund	232	review	competing: world wildlife fund (152); world wide fund (80)	"wwf +> ?""world wildlife fund"";"
wri	world resources institute	229	ready		"wri +> ?""world resources institute"";"
faa	funded activity agreement	229	review	competing: funded activity agreement (165); federal aviation administration (64)	"faa +> ?""funded activity agreement"";"
ncv	net calorific value	227	ready		"ncv +> ?""net calorific value"";"
mme	ministry mines energy	227	ready		"mme +> ?""ministry mines energy"";"
tna	technology needs assessment	226	ready		"tna +> ?""technology needs assessment"";"
imo	international maritime organization	226	review	competing: international maritime organization (183); international maritime organisation (43)	"imo +> ?""international maritime organization"";"
imf	international monetary fund	225	ready		"imf +> ?""international monetary fund"";"
isa	integrated science assessment	224	ready		"isa +> ?""integrated science assessment"";"
ppr	project progress reports	222	review	competing: project progress reports (167); project performance reports (32); project performance report (23)	"ppr +> ?""project progress reports"";"
ipp	indigenous peoples plan	220	review	competing: indigenous peoples plan (169); infrastructure production plan (31); independent power producer (20)	"ipp +> ?""indigenous peoples plan"";"
cap	common agricultural policy	220	ready		"cap +> ?""common agricultural policy"";"
gi	green infrastructure	216	review	ISO-2 prefix, Guinea	"gi +> ?""green infrastructure"";"
trir	total recordable incident rate	215	review	competing: total recordable incident rate (178); total recordable injury rate (37)	"trir +> ?""total recordable incident rate"";"
usaid	united states agency international development	214	ready		"usaid +> ?""united states agency international development"";"
saf	sustainable aviation fuel	213	review	competing: sustainable aviation fuel (162); sustainable aviation fuels (51)	"saf +> ?""sustainable aviation fuel"";"
noaa	national oceanic atmospheric administration	212	ready		"noaa +> ?""national oceanic atmospheric administration"";"
nc	national communications	212	review	competing: national communications (99); national communication (86); natural capital (27)	"nc +> ?""national communications"";"
npc	national project coordinator	212	review	competing: national project coordinator (109); national planning commission (103)	"npc +> ?""national project coordinator"";"
nttaa	national technology transfer advancement act	211	ready		"nttaa +> ?""national technology transfer advancement act"";"
ta	technical assistance	209	review	competing: technical assistance (150); trend assessment (59)	"ta +> ?""technical assistance"";"
nbsp	national biodiversity strategy action plan	207	ready		"nbsp +> ?""national biodiversity strategy action plan"";"
ldcf	least developed countries fund	206	ready		"ldcf +> ?""least developed countries fund"";"
cng	compressed natural gas	205	ready		"cng +> ?""compressed natural gas"";"
erc	evaluation resource center	203	review	competing: evaluation resource center (143); evaluation resource centre (60)	"erc +> ?""evaluation resource center"";"
mnre	ministry natural resources environment	202	review	competing: ministry natural resources environment (155); ministry new renewable energy (47)	"mnre +> ?""ministry natural resources environment"";"
api	american petroleum institute	202	ready		"api +> ?""american petroleum institute"";"
eip	european innovation partnership	202	ready		"eip +> ?""european innovation partnership"";"
dom	dead organic matter	200	review	ISO code for Dominican Republic	"dom +> ?""dead organic matter"";"
crave	climate resilient agriculture three vulnerable extreme	199	ready		"crave +> ?""climate resilient agriculture three vulnerable extreme"";"
hs	highly satisfactory	199	ready		"hs +> ?""highly satisfactory"";"
nbpspa	national biodiversity policy strategic plan action	198	ready		"nbpspa +> ?""national biodiversity policy strategic plan action"";"
spa	strategic partnership agreement	198	review	competing: strategic partnership agreement (174); special protection area (24)	"spa +> ?""strategic partnership agreement"";"
dea	department environmental affairs	197	review	competing: department environmental affairs (107); danish energy agency (90)	"dea +> ?""department environmental affairs"";"
ief	implied emission factor	197	review	competing: implied emission factor (142); implied emission factors (55)	"ief +> ?""implied emission factor"";"
ppcr	pilot program climate resilience	195	review	competing: pilot program climate resilience (162); pilot programme climate resilience (33)	"ppcr +> ?""pilot program climate resilience"";"
caa	clean air act	195	ready		"caa +> ?""clean air act"";"
esap	ess standards agreed part	194	review	competing: ess standards agreed part (124); environmental social action plan (70)	"esap +> ?""ess standards agreed part"";"
npd	national project director	192	ready		"npd +> ?""national project director"";"
neeap	national energy efficiency action plan	191	ready		"neeap +> ?""national energy efficiency action plan"";"
ea	executing agency	190	review	competing: executing agency (123); environmental assessment (39); environment agency (28)	"ea +> ?""executing agency"";"
iee	initial environmental examination	187	ready		"iee +> ?""initial environmental examination"";"
sea	strategic environmental assessment	187	ready		"sea +> ?""strategic environmental assessment"";"
kca	key category analysis	187	review	competing: key category analysis (149); key categories analysis (38)	"kca +> ?""key category analysis"";"
spi	standardized precipitation index	186	ready		"spi +> ?""standardized precipitation index"";"
gii	gender inequality index	184	ready		"gii +> ?""gender inequality index"";"
umra	unfunded mandates reform act	183	ready		"umra +> ?""unfunded mandates reform act"";"
gaul	global administrative unit layers	183	ready		"gaul +> ?""global administrative unit layers"";"
nema	national environment management authority	182	review	competing: national environment management authority (131); national emergency management agency (27); national environmental management authority (24)	"nema +> ?""national environment management authority"";"
ctf	clean technology fund	180	review	competing: clean technology fund (100); common tabular format (80)	"ctf +> ?""clean technology fund"";"
glof	glacial lake outburst flood	179	ready		"glof +> ?""glacial lake outburst flood"";"
nama	nationally appropriate mitigation actions	179	review	competing: nationally appropriate mitigation actions (126); nationally appropriate mitigation action (53)	"nama +> ?""nationally appropriate mitigation actions"";"
voc	volatile organic compounds	178	ready		"voc +> ?""volatile organic compounds"";"
ccm	climate change mitigation	177	ready		"ccm +> ?""climate change mitigation"";"
ews	early warning systems	175	review	competing: early warning systems (119); early warning system (56)	"ews +> ?""early warning systems"";"
esa	endangered species act	173	review	competing: endangered species act (140); european space agency (33)	"esa +> ?""endangered species act"";"
ge	gross energy	173	review	ISO-2 prefix, Georgia	"ge +> ?""gross energy"";"
nccs	national climate change strategy	173	review	competing: national climate change strategy (149); national climate change secretariat (24)	"nccs +> ?""national climate change strategy"";"
nbs	national biodiversity strategy	171	review	competing: national biodiversity strategy (130); national bureau statistics (41)	"nbs +> ?""national biodiversity strategy"";"
ets	emissions trading system	169	review	competing: emissions trading system (147); emissions trading scheme (22)	"ets +> ?""emissions trading system"";"
pip	priority investment program	168	ready		"pip +> ?""priority investment program"";"
fcpf	forest carbon partnership facility	167	ready		"fcpf +> ?""forest carbon partnership facility"";"
uic	underground injection control	166	ready		"uic +> ?""underground injection control"";"
tfeu	treaty functioning european union	165	ready		"tfeu +> ?""treaty functioning european union"";"
iuv	indirect use values	165	ready		"iuv +> ?""indirect use values"";"
ov	option values	165	ready		"ov +> ?""option values"";"
blm	bureau land management	165	ready		"blm +> ?""bureau land management"";"
so	specific objectives	163	review	ISO-2 prefix, Somalia	"so +> ?""specific objectives"";"
cta	chief technical advisor	162	ready		"cta +> ?""chief technical advisor"";"
acap	agreement conservation albatrosses petrels	161	ready		"acap +> ?""agreement conservation albatrosses petrels"";"
pyrn	permafrost young research network	161	ready		"pyrn +> ?""permafrost young research network"";"
kpi	key performance indicator	161	review	competing: key performance indicator (132); key performance indicators (29)	"kpi +> ?""key performance indicator"";"
cr	composition final recovery	159	review	ISO-2 prefix, Costa Rica	"cr +> ?""composition final recovery"";"
etf	enhanced transparency framework	159	ready		"etf +> ?""enhanced transparency framework"";"
gis	geographic information systems	157	review	competing: geographic information systems (92); geographic information system (65)	"gis +> ?""geographic information systems"";"
sep	stakeholder engagement plan	156	ready		"sep +> ?""stakeholder engagement plan"";"
mr	methodology report	154	review	ISO-2 prefix, Mauritania	"mr +> ?""methodology report"";"
gcos	global climate observing system	154	review	competing: global climate observing system (132); global climate observation system (22)	"gcos +> ?""global climate observing system"";"
iges	institute global environmental strategies	153	ready		"iges +> ?""institute global environmental strategies"";"
ci	conservation international	153	review	ISO-2 prefix, Côte d'Ivoire	"ci +> ?""conservation international"";"
unido	united nations industrial development organization	153	ready		"unido +> ?""united nations industrial development organization"";"
fws	fish wildlife service	152	ready		"fws +> ?""fish wildlife service"";"
iczm	integrated coastal zone management	151	ready		"iczm +> ?""integrated coastal zone management"";"
da	department agriculture	150	review	competing: department agriculture (55); designated authority (50); delivery adaption (45)	"da +> ?""department agriculture"";"
ai	artificial intelligence	149	ready		"ai +> ?""artificial intelligence"";"
icc	international criminal court	148	ready		"icc +> ?""international criminal court"";"
ttl	task team leader	148	ready		"ttl +> ?""task team leader"";"
ie	included elsewhere	148	review	competing: included elsewhere (116); implementing entity (32)	"ie +> ?""included elsewhere"";"
omb	office management budget	148	ready		"omb +> ?""office management budget"";"
iw	inception workshop	147	ready		"iw +> ?""inception workshop"";"
crt	common reporting tables	147	review	competing: common reporting tables (87); common reporting table (60)	"crt +> ?""common reporting tables"";"
rpf	resettlement policy framework	145	ready		"rpf +> ?""resettlement policy framework"";"
sccf	special climate change fund	145	ready		"sccf +> ?""special climate change fund"";"
ira	inflation reduction act	145	review	already a rule in documents.sr	"ira +> ?""inflation reduction act"";"
hu	highly unsatisfactory	144	review	ISO-2 prefix, Hungary	"hu +> ?""highly unsatisfactory"";"
kacst	king abdulaziz city science technology	143	ready		"kacst +> ?""king abdulaziz city science technology"";"
rgc	royal government cambodia	143	ready		"rgc +> ?""royal government cambodia"";"
slr	sea level rise	143	ready		"slr +> ?""sea level rise"";"
cod	chemical oxygen demand	143	review	ISO code for Democratic Republic of Congo	"cod +> ?""chemical oxygen demand"";"
maf	ministry agriculture fisheries	140	review	competing: ministry agriculture fisheries (108); ministry agriculture forestry (32)	"maf +> ?""ministry agriculture fisheries"";"
esr	effort sharing regulation	139	ready		"esr +> ?""effort sharing regulation"";"
nda	national designated authority	138	ready		"nda +> ?""national designated authority"";"
edf	environmental defense fund	137	review	competing: environmental defense fund (96); european development fund (41)	"edf +> ?""environmental defense fund"";"
tsc	technical screening criteria	136	ready		"tsc +> ?""technical screening criteria"";"
gva	gross value added	136	ready		"gva +> ?""gross value added"";"
ia	implementing agency	136	ready		"ia +> ?""implementing agency"";"
pmf	performance measurement frameworks	135	ready		"pmf +> ?""performance measurement frameworks"";"
rap	resettlement action plan	134	ready		"rap +> ?""resettlement action plan"";"
irmf	integrated results management framework	134	ready		"irmf +> ?""integrated results management framework"";"
ema	environmental management authority	134	ready		"ema +> ?""environmental management authority"";"
drm	disaster risk management	134	ready		"drm +> ?""disaster risk management"";"
esd	effort sharing decision	134	review	competing: effort sharing decision (104); education sustainable development (30)	"esd +> ?""effort sharing decision"";"
oe	office environment	131	ready		"oe +> ?""office environment"";"
fdi	foreign direct investment	130	ready		"fdi +> ?""foreign direct investment"";"
nrel	national renewable energy laboratory	128	ready		"nrel +> ?""national renewable energy laboratory"";"
ceq	council environmental quality	128	ready		"ceq +> ?""council environmental quality"";"
nccp	national climate change policy	128	ready		"nccp +> ?""national climate change policy"";"
csa	climate smart agriculture	128	review	competing: climate smart agriculture (79); central statistical agency (28); corporate sustainability assessment (21)	"csa +> ?""climate smart agriculture"";"
nca	natural capital accounting	128	review	competing: natural capital accounting (95); natural capital accounts (33)	"nca +> ?""natural capital accounting"";"
fy	fiscal year	127	ready		"fy +> ?""fiscal year"";"
icao	international civil aviation organization	127	ready		"icao +> ?""international civil aviation organization"";"
ipm	integrated pest management	126	ready		"ipm +> ?""integrated pest management"";"
smr	statutory management requirements	125	review	ISO code for San Marino	"smr +> ?""statutory management requirements"";"
pacczo	projet d adaptation aux changements climatiques dans les zones oasiennes	125	ready		"pacczo +> ?""projet d adaptation aux changements climatiques dans les zones oasiennes"";"
nga	natural gas act	125	review	ISO code for Nigeria	"nga +> ?""natural gas act"";"
epr	extended producer responsibility	125	ready		"epr +> ?""extended producer responsibility"";"
twg	technical working group	125	review	competing: technical working group (104); technical working groups (21)	"twg +> ?""technical working group"";"
ippf	indigenous peoples plan framework	124	ready		"ippf +> ?""indigenous peoples plan framework"";"
ndrrmp	national disaster risk reduction management plan	124	ready		"ndrrmp +> ?""national disaster risk reduction management plan"";"
res	renewable energy sources	124	review	competing: renewable energy sources (103); regional evaluation specialist (21)	"res +> ?""renewable energy sources"";"
csp	concentrated solar power	124	ready		"csp +> ?""concentrated solar power"";"
mwe	ministry water environment	123	ready		"mwe +> ?""ministry water environment"";"
ly	latest reported year	122	ready		"ly +> ?""latest reported year"";"
cef	connecting europe facility	121	ready		"cef +> ?""connecting europe facility"";"
ip	implementing partner	121	review	competing: implementing partner (51); investment plan (29); inspection panel (21)	"ip +> ?""implementing partner"";"
km	knowledge management	120	ready		"km +> ?""knowledge management"";"
ccra	climate change risk assessment	119	ready		"ccra +> ?""climate change risk assessment"";"
wd-oecm	world database other effective area based conservation measures	119	ready		"wd-oecm +> ?""world database other effective area based conservation measures"";"
ndma	national disaster management authority	119	review	competing: national disaster management authority (82); national disaster management agency (37)	"ndma +> ?""national disaster management authority"";"
inc	initial national communication	119	ready		"inc +> ?""initial national communication"";"
rlie	red list index ecosystems	118	ready		"rlie +> ?""red list index ecosystems"";"
grm	grievance redress mechanism	118	ready		"grm +> ?""grievance redress mechanism"";"
rfs	renewable fuel standard	117	ready		"rfs +> ?""renewable fuel standard"";"
corsia	carbon offsetting reduction scheme international aviation	117	ready		"corsia +> ?""carbon offsetting reduction scheme international aviation"";"
nsc	national steering committee	117	ready		"nsc +> ?""national steering committee"";"
cso	central statistics office	117	review	competing: central statistics office (58); civil society organizations (30); central statistical office (29)	"cso +> ?""central statistics office"";"
ldc	local distribution company	117	review	political grouping in ISO data	"ldc +> ?""local distribution company"";"
oecm	other effective area based conservation measures	116	ready		"oecm +> ?""other effective area based conservation measures"";"
nccrs	national climate change response strategy	116	ready		"nccrs +> ?""national climate change response strategy"";"
gea	guyana energy agency	114	ready		"gea +> ?""guyana energy agency"";"
ml	moderately likely	114	review	ISO-2 prefix, Malta	"ml +> ?""moderately likely"";"
ccccc	caribbean community climate change centre	114	ready		"ccccc +> ?""caribbean community climate change centre"";"
itpgrfa	international treaty plant genetic resources food agriculture	114	ready		"itpgrfa +> ?""international treaty plant genetic resources food agriculture"";"
wcs	wildlife conservation society	113	ready		"wcs +> ?""wildlife conservation society"";"
bc	black carbon	113	ready		"bc +> ?""black carbon"";"
iwrm	integrated water resources management	112	review	competing: integrated water resources management (86); integrated water resource management (26)	"iwrm +> ?""integrated water resources management"";"
cbi	confidential business information	112	ready		"cbi +> ?""confidential business information"";"
kp	kyoto protocol	112	ready		"kp +> ?""kyoto protocol"";"
ji	joint implementation	111	ready		"ji +> ?""joint implementation"";"
drc	democratic republic congo	111	ready		"drc +> ?""democratic republic congo"";"
aws	automatic weather stations	110	ready		"aws +> ?""automatic weather stations"";"
naics	north american industry classification system	110	ready		"naics +> ?""north american industry classification system"";"
cfr	code federal regulations	109	review	competing: code federal regulations (73); charter fundamental rights (36)	"cfr +> ?""code federal regulations"";"
ferc	federal energy regulatory commission	109	ready		"ferc +> ?""federal energy regulatory commission"";"
ppp	purchasing power parity	109	review	competing: purchasing power parity (71); public private partnership (38)	"ppp +> ?""purchasing power parity"";"
gdi	gender development index	108	ready		"gdi +> ?""gender development index"";"
bea	building efficiency accelerator	107	review	competing: building efficiency accelerator (77); bureau economic analysis (30)	"bea +> ?""building efficiency accelerator"";"
fip	forest investment program	107	review	competing: forest investment program (73); federal implementation plan (34)	"fip +> ?""forest investment program"";"
ostp	office science technology policy	106	ready		"ostp +> ?""office science technology policy"";"
memr	ministry energy mineral resources	106	ready		"memr +> ?""ministry energy mineral resources"";"
